Time,Vel_X,Vel_Y,Vel_Z,Total
42.685000,0.006642,0.040810,0.087378,0.096667
42.897000,-0.005137,0.023265,0.093684,0.096667
43.118000,-0.005760,0.023800,0.093514,0.096667
43.336000,-0.005023,0.025551,0.093093,0.096667
43.552000,-0.003949,0.024160,0.093516,0.096667
43.761000,-0.003759,0.021056,0.094271,0.096667
43.979000,-0.001981,0.028781,0.092261,0.096667
44.196000,0.009606,0.022366,0.093552,0.096667
44.413000,0.009881,0.061731,0.053238,0.082113
44.631000,0.008452,0.077496,-0.046607,0.090826
44.845000,0.018272,0.021992,-0.092341,0.096667
45.062000,-0.000311,0.052944,-0.080878,0.096667
45.280000,0.002341,0.022644,-0.093948,0.096667
45.497000,0.000544,0.031578,-0.091362,0.096667
45.716000,0.003431,0.042220,-0.086891,0.096667
45.940000,0.005709,0.051526,-0.081590,0.096667
46.154000,0.008067,0.061916,-0.073796,0.096667
46.358000,0.011646,0.074345,-0.060676,0.096667
46.578000,0.013775,0.091246,-0.028789,0.096667
46.801000,0.023995,0.093265,0.008385,0.096667
47.017000,0.024669,0.077657,0.052012,0.096667
47.231000,0.018919,0.059684,0.073650,0.096667
47.441000,-0.000603,0.007562,0.096369,0.096667
47.657000,-0.005769,-0.003606,0.096427,0.096667
47.873000,-0.011881,0.050530,0.081548,0.096667
48.097000,-0.001019,0.047608,0.084124,0.096667
48.316000,-0.006951,0.061785,0.074018,0.096667
48.529000,-0.040737,0.051993,0.070581,0.096667
48.749000,-0.013927,0.076201,0.057826,0.096667
48.970000,-0.023384,0.074612,0.014639,0.079550
49.182000,-0.047068,0.074500,-0.026190,0.091932
49.395000,-0.017720,0.094180,0.012673,0.096667
49.618000,-0.031297,0.091264,0.005980,0.096667
49.829000,-0.023212,0.093838,0.000232,0.096667
50.055000,-0.021753,0.094064,-0.004810,0.096667
50.264000,-0.028875,0.086694,-0.031541,0.096667
50.482000,-0.024250,0.085747,-0.037468,0.096667
50.701000,-0.020513,0.085699,-0.039741,0.096667
50.918000,-0.010320,0.086095,-0.042727,0.096667
51.129000,0.000613,0.087485,-0.041115,0.096667
51.350000,-0.026818,-0.076848,-0.052150,0.096667
51.567000,0.034180,-0.006282,0.090204,0.096667
51.773000,0.003895,0.006597,0.096363,0.096667
51.995000,-0.089398,0.030079,-0.021157,0.096667
52.215000,-0.021860,0.015539,-0.092872,0.096667
52.431000,0.010833,0.012999,-0.095174,0.096667
52.650000,0.019333,0.015874,-0.093374,0.096667
52.868000,0.023984,0.033686,-0.087376,0.096667
